Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
FAM110A,23.6765,40.3385,0.587,-0.602,4e-08,5.341e-05,2.916e-05,0.23864024,0.00043461,4
IL3,1.1159,0.3625,3.078,0.646,1.01e-06,1.689e-05,4.036e-05,0.4317403,0.00048042,4
CYHR1,8.4767,14.2901,0.593,-0.49,4.228e-05,0.0009966,0.00053621,0.88048261,0.00050161,4
THAP4,16.3383,26.8112,0.609,-0.643,5.7e-07,1.769e-05,7.085e-05,0.34107567,0.0005023,4
RILPL2,32.6051,70.1654,0.465,-0.678,0.0,6.77e-06,2.979e-05,0.02147068,0.00051251,5
TPM3,17.7981,30.8262,0.577,-0.692,1.6e-07,5.05e-06,2.616e-05,0.12701804,0.00053075,4
IDI1,11.2329,4.6509,2.415,0.6,2.279e-05,6.541e-05,0.00332688,0.1588897,0.00054137,4
AGTR1,0.993,0.3473,2.859,0.633,1.39e-06,2.426e-05,4.491e-05,0.26508965,0.00055875,4
SKA2,2.0757,0.7415,2.799,0.495,1.134e-05,0.00085502,0.00012393,0.28697196,0.00059777,4
CCDC124,6.2414,11.7765,0.53,-0.573,3.08e-06,0.00012255,3.044e-05,0.26513613,0.00060512,4
MYBL1,18.0625,32.0209,0.564,-0.571,6e-07,0.00013267,5.878e-05,0.17677365,0.00063803,4
SLC12A9,46.8439,78.3432,0.598,-0.604,8.7e-07,5.481e-05,7.854e-05,0.43290855,0.00064312,4
LRRC47,9.2799,16.9395,0.548,-0.64,1.3e-07,2.108e-05,1.126e-05,1.0,0.00068243,4
SAFB,17.9168,27.4435,0.653,-0.48,1.08e-05,0.00119196,6.257e-05,0.92378602,0.00070459,4
LCMT2,3.3185,4.8971,0.678,-0.447,0.00021475,0.00258347,0.00033088,0.96729961,0.00071549,4
MKRN9P,2.1398,0.9417,2.272,0.64,6.7e-06,1.987e-05,0.00040261,0.45472891,0.00071655,4
STK31,1.6536,0.7418,2.229,0.673,1.9e-07,7.76e-06,3.5e-05,0.94377659,0.00072972,4
DCTN1,11.8351,18.3896,0.644,-0.518,0.00014504,0.00049564,2.56e-05,0.63152163,0.00073495,4
RTN3,15.8416,27.5433,0.575,-0.656,1e-08,1.273e-05,4.287e-05,0.35550187,0.00073767,4
GAK,45.5922,77.5386,0.588,-0.687,8e-08,4.83e-06,6.21e-06,0.94552275,0.00074275,4
PYROXD1,2.9726,1.5974,1.861,0.653,3.811e-05,1.33e-05,0.00056114,0.50091734,0.00074538,4
SCN9A,3.6958,2.1124,1.75,0.634,4.085e-05,2.196e-05,0.00148929,0.370282,0.00078005,4
OR52K2,4.1888,1.8261,2.294,0.58,0.00166545,0.00010002,0.00420334,0.74561537,0.00078622,4
RHOH,8.3363,13.8604,0.601,-0.426,5.312e-05,0.00405029,2.853e-05,0.28697196,0.00079295,4
NLGN1,1.7126,0.7805,2.194,0.659,1.2e-06,1.093e-05,0.00017193,0.53681325,0.00079305,4
TNRC18,39.1699,64.055,0.612,-0.591,1.51e-06,7.336e-05,5.406e-05,0.46626286,0.00082783,4
VPS4A,11.2039,20.7169,0.541,-0.563,3.86e-06,0.00017657,0.00058734,0.34107567,0.00085067,4
B3GALT6,0.9512,1.8127,0.525,-0.627,1.51e-06,2.991e-05,0.00198035,0.02546007,0.00086958,5
NRXN3,1.3647,0.6665,2.048,0.61,7e-06,4.493e-05,4.97e-05,0.83750782,0.00087368,4
CNPY3,23.5155,47.1643,0.499,-0.828,5e-08,8e-08,4.97e-05,0.65123214,0.00088581,4
GLYR1,13.2345,22.8348,0.58,-0.575,7.45e-06,0.00012426,3.37e-06,0.88048261,0.00089247,4
CAMKK2,18.4286,32.3406,0.57,-0.634,1.3e-07,2.284e-05,4.379e-05,0.46626286,0.00091274,4
PNPLA2,78.7891,137.6629,0.572,-0.721,2e-08,1.66e-06,1.005e-05,0.816179,0.00092366,4
IFNGR2,2.5064,6.7871,0.369,-0.739,0.0,1.26e-06,4.2e-07,0.40528265,0.00093568,4
LASP1,68.1143,146.9489,0.464,-0.583,0.0,9.8e-05,1.613e-05,0.15044329,0.00093808,4
BCL11A,5.7908,9.101,0.636,-0.503,7e-06,0.00075332,0.00121314,0.32701011,0.00094331,4
TRADD,122.6084,231.2664,0.53,-0.622,4e-08,3.062e-05,2.59e-06,0.4009022,0.00095617,4
SELENOP,0.8642,0.3013,2.869,0.569,5.968e-05,0.00013766,0.00211928,0.67353477,0.00096759,4
CAP2,0.9392,0.3415,2.751,0.668,4.2e-07,9.15e-06,4.421e-05,0.48864101,0.00098472,4
MTSS1,28.9699,52.3048,0.554,-0.565,1.37e-06,0.00016846,5.184e-05,0.41673557,0.00098648,4
ABCA7,91.1046,130.7647,0.697,-0.454,4.529e-05,0.00207459,0.00014111,0.53681325,0.00099661,4
DYRK3,0.6738,0.2987,2.255,0.641,3.31e-06,1.761e-05,0.00037025,0.11983122,0.00105104,4
NUDT16L1,10.8616,18.9958,0.572,-0.587,1.61e-06,8.77e-05,1.925e-05,0.90209945,0.00106302,4
CTCFL,1.5925,0.5939,2.681,0.762,5e-08,4.7e-07,7.084e-05,0.88048261,0.00106757,4
PTN,0.9218,0.3167,2.91,0.609,1.35e-06,4.906e-05,5.284e-05,0.60164357,0.00108576,4
MAFG,4.047,8.2192,0.492,-0.509,6.731e-05,0.00069341,0.0003845,0.05129462,0.0010884,4
TMTC3,1.8027,0.9158,1.969,0.406,0.00018827,0.00586199,0.00611484,0.02546007,0.00110168,5
ANKRD39,5.3392,8.8117,0.606,-0.45,3.06e-06,0.00228967,3.79e-06,0.94552275,0.00110396,4
KCNT2,1.1641,0.4735,2.458,0.614,5e-08,4.348e-05,4.473e-05,0.32701011,0.00110408,4
GIMAP1,8.0215,12.9604,0.619,-0.614,2.7e-07,3.848e-05,4.97e-05,0.09402198,0.00112219,4
PTTG1IP,6.5313,12.4911,0.523,-0.657,6e-07,1.388e-05,6.21e-06,0.71170446,0.00114087,4
ALDH16A1,18.2806,29.8779,0.612,-0.572,6.6e-07,0.00012396,8.183e-05,0.55520734,0.0011815,4
NUCB1,42.5946,75.6304,0.563,-0.592,1.19e-06,7.879e-05,0.00021728,0.28697196,0.00123669,4
NAA16,4.7772,3.1479,1.518,0.451,0.00028139,0.00221259,0.02164652,0.48343223,0.00125107,4
PTOV1,64.6389,104.0854,0.621,-0.578,1.66e-06,0.00010213,1.41e-05,0.96729961,0.00126214,4
PHF14,6.1663,8.5218,0.724,-0.408,0.00475324,0.00579574,0.00107473,0.31330231,0.00130793,4
CDKN1B,6.3773,10.8829,0.586,-0.616,1.79e-06,3.963e-05,0.00115192,0.1129434,0.00131213,4
CHMP1A,16.418,29.5806,0.555,-0.609,1.08e-06,4.85e-05,1.577e-05,0.88048261,0.00132161,4
SARNP,5.1174,2.3994,2.133,0.518,1.796e-05,0.00047254,0.00067867,0.12701804,0.00134658,4
COL15A1,4.4997,2.2399,2.009,0.634,2.72e-05,2.185e-05,0.00109356,0.43290855,0.00136266,4
ZNF155,2.9368,1.7882,1.642,0.494,9.288e-05,0.00083433,7.64e-06,0.65123214,0.00136786,4
TP53I11,4.0472,5.6809,0.712,-0.416,0.00719563,0.00484227,0.00377399,0.88048261,0.00139451,4
ZNF746,26.8654,45.2392,0.594,-0.528,1.75e-06,0.00039874,5.878e-05,0.26208651,0.00140031,4
PBXIP1,48.6734,78.4197,0.621,-0.564,8.5e-07,0.00014611,8.38e-06,0.77391449,0.0014145,4
CSGALNACT2,5.8911,9.6043,0.613,-0.687,4.6e-07,5.06e-06,4.473e-05,0.7949782,0.00141818,4
USP53,2.7932,1.6282,1.716,0.687,3.14e-06,4.58e-06,0.00085568,0.46626286,0.00142587,4
HNRNPA1,60.1367,104.7882,0.574,-0.662,2.4e-07,1.078e-05,7.085e-05,0.65123214,0.00146043,4
BOP1,25.4444,39.6347,0.642,-0.5,1.313e-05,0.00075746,0.00040663,0.27434987,0.0014671,4
ERP27,2.5828,1.6519,1.564,0.454,0.00022984,0.00208116,0.00127728,0.20613999,0.00148725,4
EIF4EBP2,3.0729,5.309,0.579,-0.723,5e-08,1.55e-06,0.00013293,0.51871531,0.00151494,4
CASD1,2.8331,1.8087,1.566,0.418,0.00057527,0.00445534,0.00014111,0.1129434,0.00152867,4
CHPF2,30.5935,50.7853,0.602,-0.536,5.11e-06,0.00031546,5.756e-05,0.75300697,0.00152921,4
BRD2,1.6932,0.4651,3.64,0.543,2.868e-05,0.00027805,0.0045108,0.01450851,0.00153328,5
FHOD1,15.134,22.9408,0.66,-0.6,4.741e-05,6.272e-05,0.0044094,0.96729961,0.00153338,4
NECAP2,14.3017,23.9931,0.596,-0.594,2.59e-06,6.878e-05,5.52e-05,0.65123214,0.00153551,4
GALNT6,3.0248,4.7205,0.641,-0.546,0.00062223,0.00026603,0.01949883,0.06339176,0.00154024,4
IL2,0.8299,0.259,3.204,0.611,3.172e-05,4.525e-05,0.00689639,0.78356487,0.00154103,4
STX10,23.3254,47.6844,0.489,-0.794,1e-08,2.1e-07,1.475e-05,0.71170446,0.00155398,4
SNTB1,12.0382,19.3749,0.621,-0.518,3.946e-05,0.00049834,0.00348857,0.4009022,0.00155561,4
BCL2,28.8917,52.5353,0.55,-0.425,0.00013598,0.00408606,0.00018235,0.77391449,0.00155891,4
INTS1,119.9903,188.2075,0.638,-0.545,2.27e-06,0.00024129,1.475e-05,0.96729961,0.00157253,4
